id_user_anon,ab
82661f99-83f9-4391-922a-a44cc861d71f,treatment
ab17d647-b192-4775-bd8d-8f5b75823ca9,treatment
75c91076-d27a-429b-b7fc-30423994129c,treatment
fe90cec4-0e69-4f1b-929f-ca5a9254f732,treatment
80e19b7f-bf98-48c2-b413-36d49df5556a,treatment
c5b5d865-1f35-4043-9f67-7f6bde8c0d97,treatment
a4676fea-e18c-4bf4-a671-c469645b6859,control
0062588c-1a24-479b-a61a-1cf94cd85fb6,treatment
ed407546-dba1-444e-aa31-e20d514b6f76,control
59e28759-3365-4ccd-9ce5-2627c5002ea2,control
9f08b894-278d-4f2f-9e1d-7413becb7406,control
a6e60650-3644-420a-bbdf-ac67c2c5c454,control
b368309a-03c0-4767-9bb3-ebde64877f4c,treatment
8bf39e96-9feb-49d3-923c-08295dfa1371,control
d0e6fdf8-a45d-42d8-a65c-5aa5a0357ff6,control
1425da8c-eda6-467e-84ae-b6476d9242a5,treatment
c2a18e5c-6a9f-47ab-98d5-ba8b4b74a6c0,treatment
e1089b33-dd93-4fcc-8739-926561876ca1,treatment
e71f4ec5-cf4b-4318-a42c-e8210224ff97,control
e79e3fd4-d667-4048-b692-a177f42dbc96,control
6c906b6c-15c7-4b64-87fd-ba6d1a370ba5,control
a7ed7ab5-313d-4e96-86b9-68178d5fa9e7,control
bc2894ff-f64d-4d79-a5a9-7eadebecc1e3,treatment
f187faab-bd1f-4a8d-876e-e7dcc6d2a888,treatment
4362a800-c347-4240-be70-9c946293ff7f,treatment
98a221ac-fe6e-4837-8436-7eaa57db33f5,treatment
e1954180-fb93-4fc9-8342-12fe662aeb1b,control
3a70f144-d845-4501-a47e-71b63e08bd70,control
5897b09d-8d31-4035-9bdf-d6c1fe773545,control
c7c052db-38ae-4124-9c41-bc1f4139676a,control
0a2dea36-c6cd-4f02-9063-9e9278b0bb68,control
7a381895-03e8-46f0-a144-b0b57da78eee,control
cf30ba25-ea81-4649-9cd2-04e25af32191,control
5f44f43b-0138-4c33-b4ae-c6949ca94121,control
a84cd9a1-5ead-4303-a894-f767d0de5aa1,treatment
31621de3-94a8-48d9-8754-e41e6dc0acb2,treatment
4b171f0b-5881-4389-a782-224ade8804d1,control
677c66b3-986e-4c33-9d8f-ff61adee6a99,treatment
69121915-5c86-4a5f-a0cc-7d968498f118,treatment
8d087162-e159-4f02-921c-e54227e21e3f,control
96831631-72f7-4a69-a983-dd2e16bcaef6,treatment
c5cf7979-c820-4426-b9f3-d4636398a57d,treatment
203ba21d-53fe-4b99-9791-54ece7ea4e96,control
ae25982e-513a-422a-9945-2abb207c02ae,treatment
02e9a516-1436-4201-a048-92c90a700de1,control
07926d43-0795-4500-999c-fd43ee1aed32,control
f78d5144-3224-4c4f-a139-ec5fecba0d83,control
1b43dc4a-6741-4bd4-829c-133c11cf6770,control
2ff97834-30f9-4f43-a546-a8b75770b435,control
8d26f9f6-1bd2-4c04-9e5a-079428b87e81,control
23f9e8b4-f7ab-45f4-958c-e0823e3dcccc,treatment
5c2ee658-2e2b-4dd0-a6ae-1c729c7112d5,control
cf8efa7c-7c2b-46e8-aef5-80b40d548deb,control
5fbb6204-5c1f-4cab-b49e-63c9425266d5,control
96b7ead4-e85d-4dd7-8255-b1c79d99b449,treatment
5c4f3c9d-0f95-48c8-b7f0-a58eaae0ef8d,control
45717132-943d-4b7d-978d-9f8d280772ee,treatment
40900982-6910-4079-8815-a500ca35712c,treatment
6be1950f-d06c-455c-8a56-da31f9093d9d,control
cec5fc70-f520-4f6d-9c6b-6fb0489b1965,treatment
fab89b92-9627-4942-aa81-7bf23137bc02,control
59aa63a9-696a-44fe-a360-b88f40c1396c,treatment
3fcdf0da-2142-4f0e-b11f-08f087bc8354,treatment
0fc80f7c-62cc-483e-a3df-5909fe3309eb,treatment
4e29f069-cf1c-4126-8586-0ebe3da2e9e5,control
27db3415-242c-412a-9d9d-2c32c0435528,control
b4f4f307-688b-4388-b138-cef6c318b33b,control
469a487b-8d49-46ac-9932-3aabb138080d,control
a3066796-e6e8-4ba4-930e-0fed3f82cd1b,treatment
be7623b7-93a1-40be-a682-6488005df810,control
47d1100e-30ba-4c81-a4c5-89391cf405ac,treatment
f604b93f-89e0-4cde-9304-4803551bc70e,control
33b17d37-2868-4718-b8c8-31fafb49f9bb,treatment
3f5d0461-bf80-4b16-b8d5-fef4681649f6,treatment
79cc58ee-7858-4fbc-a00e-7e74619843b3,control
ee4777a4-ba17-404c-ad01-60fcd74b8e0f,treatment
dbcc55a3-074f-47f7-a7d3-77ced398b54c,treatment
df13532b-5df8-48fb-aef9-0d967a4d2734,treatment
23a1f7fe-35ee-4702-8e22-2d9981e63cef,treatment
53b6c24c-63df-4438-91e3-1baf380ebf22,control
58fbd0b7-49ea-402d-9a2e-6abe008e109b,treatment
30840774-7fae-4bfe-829b-598f6782b5f2,treatment
ce0610cf-ff6b-4574-94b0-3098d0910342,control
0255d178-0bbd-41e1-baa8-2e8e4dc9c094,treatment
b12dda44-788f-4e4f-a1c6-f6629a03e3c1,treatment
d46a9112-bf26-4791-b76a-16ba69947e54,treatment
76a883d7-6b59-4e36-af10-121ee6972d77,treatment
c83dc1fa-2985-4899-8c73-ce32870641d8,treatment
7a27a82c-1f21-4128-a8e4-a04b4fa18e83,treatment
3dfa9d5a-6edb-4162-9c50-e2aa2456fa12,treatment
8921d9a3-3270-4d8c-82da-23c0e615ad0c,control
7f69b518-e17a-40fb-a4c6-84ae65349afe,control
897d85c8-4771-4422-bd84-4acebb8e06bd,treatment
5623dfc4-59d8-4711-b6cf-0d066f105060,control
b9684936-5ae4-4fb2-b811-2d97c3714187,control
601e8bea-0d51-4317-aeb5-7cde54d2506b,treatment
3d8908ef-a3cf-4cfc-8838-4a2997de687f,treatment
48f619c8-c14f-40ba-add5-4976c0ae1610,control
1da4a320-ff01-417d-ab65-cc4a0a3dd4b0,treatment
f50d6e4f-dd36-4a0b-92cf-3179f9f43983,control
ebb50572-5be6-41ce-9fd4-9e1a2f2775b1,control
40900982-6910-4079-8815-a500ca35712c,treatment
a91e869b-158c-4bdc-a992-ba6b8eee7c2b,treatment
469a487b-8d49-46ac-9932-3aabb138080d,control
a16d3fea-d098-4ffd-bf1e-65e54b8285be,treatment
9276a26e-4e23-4b1c-a2e1-528e344e9026,control
45f4d821-3084-4c1a-afc1-60e46c79985d,control
027faa49-179a-4f37-b6c5-56f21c491448,treatment
9029658a-6992-48b5-bf03-75aafc49c196,control
cd0b8b2c-0abe-4bb4-af3c-a18361566c9b,treatment
c7123fcd-ac5e-4872-b373-9930567db3f8,treatment
832a17d6-547d-49eb-b990-1bd21bdaf5b4,treatment
e2fb0838-7976-4c53-8ad8-4a3da5b16935,treatment
e5f40daf-d05b-4b3d-aea6-db48e2b1f002,control
478c2f79-5e05-4a3d-9a00-a325d23b9df2,treatment
5ce7f8ca-e932-4142-ae19-d4efb958eaa2,treatment
d92822e0-7c87-409d-9c4d-cf800a8737cf,control
f4f6e3e7-18d3-4d2d-8677-8692e611f530,control
7534999a-7db1-4f7c-b320-5adc180e138b,control
ac8b3038-194a-43b5-a518-60df593dac7b,treatment
89bd99bf-8cd9-4262-abc8-444bbf3e54bc,treatment
68f9f40c-9fcb-404e-8b2f-2bfc20e01728,treatment
8a746f64-0ad5-456a-a737-dbcb51e62c72,control
8f32a57b-3278-42e1-9747-977a18013d31,control
d1b000b2-5eab-4fa9-b7d8-2d0061b16c24,control
7f04df2f-1977-4d29-9d38-97866bb6a527,treatment
16530bf8-4773-458a-ae5b-ba3785602f08,control
0d5539e3-0b07-4bb0-8a9f-7ec33d52edc9,control
099e7592-ff71-4604-bf20-13b06a840aa8,control
7da0dc03-3d49-4597-bbdd-94788387f249,treatment
841c6236-d410-4c92-9f6f-4d7b80624c80,control
fe8de41c-fd67-4b6f-afa3-9bd64d82996b,treatment
ab21629d-efbd-47e0-bb2d-09fb07298dc8,treatment
c0ac3622-b680-4400-b50e-ed48d394b11f,treatment
4ec121ee-7783-4dce-97e0-2b4a4c809748,control
95e42632-cc42-437d-944d-3041076d9032,treatment
6da8754e-2684-475a-a6cd-5b89dd994154,treatment
0969cd61-2b53-41bf-9f1b-8bc3bc63f001,control
bf269158-0b0f-4877-8cdf-f96d934deb96,control
2d5d56fa-9810-4fcb-afc7-beb4cedc67e2,control
25fdec48-31fd-4847-8480-647eea4c27a1,control
191e4fd6-8506-4566-b0ac-cfe7fdd267db,treatment
2629f276-c8d7-42e9-aa4b-7f6378062f1a,control
b929537f-f822-4265-967f-7631d8427919,control
b59a368d-8033-4fc9-b358-73fab25fe750,treatment
5139892c-7782-4d44-bd6e-c9e871d50a92,treatment
682ec4c4-9d6c-4eba-8f4d-7fc3d9065749,control
42d28c91-97c4-48bb-8ba6-99db3c084be2,control
16f03f36-54d8-479e-93b7-1ea54a20f222,control
df427bb2-710c-4edd-a2c1-047fd60201eb,control
64ce1212-7879-4960-8a0c-716859ed819f,control
5e690d63-a441-457b-a85b-1c27c5945718,control
eb83fc0c-deef-4ffd-9477-06375dfe0363,treatment
c6a47a3a-72d0-48a2-82cd-62a4afdd89a4,control
b7a0ad45-fd44-47d3-8528-857632d2abb0,treatment
7bad232f-967c-4a91-be06-b48639b0a152,control
79d2cbfd-ec44-4556-bf80-cbc66c5ba4cb,control
4073b34a-436f-4498-aa8a-f217770b9d52,treatment
3f201d19-5023-4612-b629-bee30b0d584d,control
967f2154-fc47-43a5-9049-64da8d5058ba,treatment
a217d0d0-98d6-4acb-8bf9-631b5e284485,control
1efcd557-7758-4d77-99ad-da521409de2e,control
105e6cc6-4533-420f-8f61-e62db3b4e080,treatment
5afc7a49-6f0b-484b-95a2-1d6d246328df,control
42f02a68-9b64-4edd-8822-779c867e63bb,control
818d396b-b426-43d1-a3f3-1f39c42b2991,treatment
30fb8fbc-f384-4d1e-b608-64abf5b110d5,treatment
f1ca613d-73cf-45c3-969e-bce08b0d286d,treatment
ee06c743-77d4-41bf-975d-68976da39c86,treatment
c6fc0633-8075-4259-a2de-9627f8f09697,treatment
ae75424c-6966-47d1-a421-dbb45c99d95e,treatment
fe4ff121-8f4f-484d-88a7-4ce8f0d8ecdd,control
c7191f20-f3ad-41c7-8683-df073d1b05ba,treatment
c148482b-3fff-4512-84c7-c99bc3f5a599,treatment
0e0bb94c-f28c-4921-ba86-0076c0c77491,control
5e83cb37-0a52-4b4b-a1b0-03d7b8435770,treatment
83ec6f5d-9faf-40ea-bc16-ec6d34aa4e11,control
0cc79672-c404-4194-9470-d7810b266006,control
38bf1e00-91c8-4c97-9c5e-18d59da7edf8,control
9ba7482d-6c2c-4c33-af85-4b16a7421e54,treatment
7a3180ef-7d11-4823-90ba-079885d21839,treatment
ba5c5823-d165-4c4f-9617-73ab20b7a78e,control
4b30323e-ad2e-4dde-9f7c-a81670d5c9a8,treatment
7715e2dd-76e5-4a72-95da-aea3d983b30b,treatment
3421a811-b9de-46e3-bce6-e268d3e662ce,treatment
de44804a-fe9d-4761-aa9b-5060898d0e2e,treatment
e6443fa3-b82f-42ce-9bb8-cd61436daf46,control
7b8e2fe9-93c0-474e-88ae-12278706d285,control
6bd83a02-8aab-4c4c-9188-6b66c66244ef,treatment
41bce635-cdf3-4f9f-92ca-fd4af93bc18d,treatment
5f1cf87f-ce4e-457b-b4b0-c96ef4c70bca,control
469373fe-369a-4c45-a6c7-7cc65e4f4b5a,treatment
2c840e41-99b2-426a-aa2b-19fe87f2ecb4,control
031573d6-03cc-4465-9e1a-f8e76c9f4f22,control
2aa3d120-3ef5-4d40-b632-0388fbd6d2cf,treatment
80fc3835-a62a-4b85-b088-3bed094990cd,control
c51436bd-abda-4d68-b6f8-c2a36635659e,treatment
9233a1fd-7052-4ade-938b-e9f3749978cc,treatment
ae39f78c-fe14-4265-aba2-045ab7e7d5ed,treatment
ea92e2eb-39f7-4245-9a72-ff9c1b010176,control
4d5fd74b-48d5-41e6-89ba-5e63d547d301,control
59381e45-efd1-4896-84d7-978577467f5c,treatment
def91225-13e2-4257-8edb-d22560a9cf0b,control
93ed0e2a-d994-40b4-b622-6676efc09f6e,treatment
8e0da22a-86be-4b8a-8787-f52a25424beb,control
